StationName,DataSource,Elevation,Latitude,Longitude,Month,Day,Year,MaxAirTemp,MinAirTemp,AvgAirTemp,Precip,AccumPrecip,Snowdepth
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,1,2010,10.5,2.2,6.3,0,818,1270
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,2,2010,8.9,2.2,5,0,818,1190
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,3,2010,11.5,4.8,7.9,0,818,1190
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,4,2010,14.6,6.5,10.8,0,818,1140
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,5,2010,15.1,7.8,11.1,0,818,1040
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,6,2010,16.7,8.1,12.9,0,818,840
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,7,2010,16.6,7.1,12.6,0,818,860
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,8,2010,14.2,2.6,9,0,818,790
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,9,2010,16.3,6.4,11.8,0,818,660
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,10,2010,13.7,4.5,10.2,0,818,580
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,11,2010,13.2,2.6,7.7,0,818,530
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,12,2010,10.9,0.1,3,13,818,480
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,15,2010,12.6,-0.6,6.9,0,841,410
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,16,2010,14.1,4.3,9.7,0,841,430
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,17,2010,10.8,-0.9,5.6,0,841,360
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,18,2010,15.2,4.2,10,0,841,180
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,19,2010,15.6,6,10.7,0,841,230
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,20,2010,15.5,5.9,10.4,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,21,2010,15.2,5.1,10.3,0,841,30
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,22,2010,15.1,5.1,10.3,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,24,2010,18.7,7,13.4,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,25,2010,19,7.2,12.5,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,26,2010,15.4,5.4,9.6,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,27,2010,16.4,5.4,11.3,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,28,2010,15.9,7.8,12.8,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,29,2010,17.6,6.8,11.9,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,6,30,2010,18.4,7.6,12.4,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,1,2010,16.5,6.6,11.6,0,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,2,2010,16.8,7,10.4,3,841,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,3,2010,16.8,7.1,11.2,0,843,30
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,4,2010,15.2,1.1,7.4,0,843,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,5,2010,13.2,1,7.4,0,843,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,6,2010,17.5,6.3,11.9,0,843,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,7,2010,16.6,3.3,9,13,843,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,8,2010,13.6,3.5,7.5,3,856,30
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,9,2010,14.5,4.6,9.5,3,859,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,10,2010,14.6,5.8,9.5,3,861,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,11,2010,14.9,5.6,9,0,864,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,12,2010,16.4,5.9,11.7,0,864,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,13,2010,18.9,9,13.7,0,864,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,14,2010,18.5,7.9,12.8,3,864,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,15,2010,18.7,8.3,13.9,0,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,16,2010,20,9.2,14.7,0,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,17,2010,21.1,10.6,15.9,0,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,18,2010,20,10.8,15.1,0,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,20,2010,20.1,9.1,13.9,0,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,21,2010,14.8,8,10.6,3,866,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,22,2010,17.1,7.9,11.3,3,869,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,23,2010,17.1,8,12.8,0,871,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,24,2010,19.3,8.8,14.4,0,871,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,25,2010,19.9,9.3,13.8,0,871,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,26,2010,20.1,9.1,14.6,0,871,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,27,2010,18.1,7.7,11.9,5,871,0
BisonLake,SNOTEL,3316.224,39.76487,107.35681,7,28,2010,19.2,8.3,12.8,3,876,0
